data,brick,regiao,categoria,vendas_clamed,vendas_concorrencia,receita,total_mercado,market_share_clamed
2025-01-01,1 - BRICK_1,Centro-Oeste,Higiene,0.0,695.92,695.92,695.92,0.0
2025-01-01,10 - BRICK_10,Sudeste,Vitaminas,475.1,0.0,475.1,475.1,100.0
2025-01-01,10 - BRICK_10,Sul,Higiene,21379.63,13171.2,34550.83,34550.83,61.878773968671666
2025-01-01,10 - BRICK_10,Sul,OTC,1220.25,0.0,1220.25,1220.25,100.0
2025-01-01,11 - BRICK_11,Sudeste,OTC,931.53,0.0,931.53,931.53,100.0
2025-01-01,11 - BRICK_11,Sul,Vitaminas,348.89,0.0,348.89,348.89,100.0
2025-01-01,12 - BRICK_12,Centro-Oeste,OTC,0.0,19848.36,19848.36,19848.36,0.0
2025-01-01,12 - BRICK_12,Centro-Oeste,Vitaminas,7273.02,0.0,7273.02,7273.02,100.0
2025-01-01,13 - BRICK_13,Sudeste,Higiene,0.0,16435.010000000002,16435.010000000002,16435.010000000002,0.0
2025-01-01,14 - BRICK_14,Centro-Oeste,Higiene,36.99,0.0,36.99,36.99,100.0
2025-01-01,14 - BRICK_14,Sul,Vitaminas,0.0,9658.28,9658.28,9658.28,0.0
2025-01-01,15 - BRICK_15,Sul,Generico,0.0,11591.3,11591.3,11591.3,0.0
2025-01-01,15 - BRICK_15,Sul,Higiene,0.0,759.8,759.8,759.8,0.0
2025-01-01,16 - BRICK_16,Centro-Oeste,Vitaminas,0.0,490.72,490.72,490.72,0.0
2025-01-01,16 - BRICK_16,Sul,Generico,10217.68,0.0,10217.68,10217.68,100.0
2025-01-01,17 - BRICK_17,Centro-Oeste,Generico,10309.68,0.0,10309.68,10309.68,100.0
2025-01-01,17 - BRICK_17,Centro-Oeste,Vitaminas,0.0,4032.51,4032.51,4032.51,0.0
2025-01-01,17 - BRICK_17,Sudeste,Generico,11627.64,22408.87,34036.509999999995,34036.509999999995,34.16225694114938
2025-01-01,17 - BRICK_17,Sudeste,Higiene,7698.4800000000005,7175.76,14874.24,14874.240000000002,51.7571317929521
2025-01-01,17 - BRICK_17,Sul,Generico,6016.02,0.0,6016.02,6016.02,100.0
2025-01-01,17 - BRICK_17,Sul,Higiene,346.99,9560.12,9907.11,9907.11,3.5024341104519885
